V,H,S,M
0.3381567582,0,0,1
0.3202413342,0.1818181818,0,1
0.2870087505,0.2727272727,0,1
0.2562836221,0.4545454545,0,1
0.2628395987,0.5454545455,0,1
0.2409664625,0.7272727273,0,1
0.2544104859,0.8181818182,0,1
0.2349241746,1,0,1
0.3534739178,0,0.6,1
0.335347054,0.1818181818,0.6,1
0.335347054,0.2727272727,0.6,1
0.3300298944,0.4545454545,0.6,1
0.335347054,0.5454545455,0.6,1
0.3051356143,0.7272727273,0.6,1
0.2562836221,0.8181818182,0.6,1
0.235649303,1,0.6,1
0.315347054,0,0.2,1
0.2839876065,0.1818181818,0.2,1
0.3032624781,0.2727272727,0.2,1
0.2749241746,0.4545454545,0.2,1
0.2600298944,0.5454545455,0.2,1
0.2598184547,0.7272727273,0.2,1
0.2839876065,0.8181818182,0.2,1
0.2658607427,1,0.2,1
0.3230510384,0,0.8,1
0.3051356143,0.1818181818,0.8,1
0.3141990462,0.2727272727,0.8,1
0.3021144703,0.4545454545,0.8,1
0.3232624781,0.5454545455,0.8,1
0.3141990462,0.7272727273,0.8,1
0.3232624781,0.8181818182,0.8,1
0.2741990462,1,0.8,1
0.3474316299,0,0.4,1
0.3416915909,0.1818181818,0.4,1
0.2960721824,0.2727272727,0.4,1
0.3103987607,0.4545454545,0.4,1
0.2960721824,0.5454545455,0.4,1
0.3174316299,0.7272727273,0.4,1
0.3293047661,0.8181818182,0.4,1
0.3081567582,1,0.4,1
0.338368198,0,1,1
0.2950149838,0.1818181818,1,1
0.2719938398,0.2727272727,1,1
0.2719030306,0.4545454545,1,1
0.2922052796,0.5454545455,1,1
0.285347054,0.7272727273,1,1
0.3021144703,0.9090909091,1,1
0.9999987276,0,0,2
0.9999987276,0.09090909091,0,2
0.9999987276,0.2727272727,0,2
0.9063432645,0.3636363636,0,2
0.6586094589,0.5454545455,0,2
0.6102711554,0.6363636364,0,2
0.4531716689,0.8181818182,0,2
0.4424465405,0.9090909091,0,2
0.9999987276,0,0.6,2
0.9999987276,0.09090909091,0.6,2
0.9758295759,0.2727272727,0.6,2
0.8157089454,0.3636363636,0.6,2
0.6555883149,0.5454545455,0.6,2
0.6283980192,0.6363636364,0.6,2
0.5045311164,0.8181818182,0.6,2
0.4743196767,0.9090909091,0.6,2
0.7190323383,0,0.2,2
0.6223557313,0.09090909091,0.2,2
0.5317214121,0.2727272727,0.2,2
0.5045311164,0.3636363636,0.2,2
0.438065949,0.5454545455,0.2,2
0.3987910774,0.6363636364,0.2,2
0.3625373497,0.8181818182,0.2,2
0.9999987276,0,0.8,2
0.9123855525,0.1818181818,0.8,2
0.957702712,0.2727272727,0.8,2
0.7583072099,0.4545454545,0.8,2
0.7341380582,0.5454545455,0.8,2
0.4952562447,0.7272727273,0.8,2
0.4682773887,0.8181818182,0.8,2
0.4673408206,1,0.8,2
0.9999987276,0,0.4,2
0.9999987276,0.1818181818,0.4,2
0.9999987276,0.2727272727,0.4,2
0.9999987276,0.4545454545,0.4,2
0.9999987276,0.5454545455,0.4,2
0.854983817,0.7272727273,0.4,2
0.6283980192,0.8181818182,0.4,2
